model,test_file,k,hit,ndcg
dense_all_wp_1.pt,test_interactions_all.txt,1,0.27010939884867785,0.27010939884867785
dense_all_wp_1.pt,test_interactions_all.txt,2,0.3867814889710155,0.3437212919182312
dense_all_wp_1.pt,test_interactions_all.txt,3,0.4637267663032951,0.382193930584371
dense_all_wp_1.pt,test_interactions_all.txt,4,0.5205684556322587,0.4066743136996462
dense_all_wp_1.pt,test_interactions_all.txt,5,0.5654862902788431,0.4240509041275743
dense_all_wp_1.pt,test_interactions_all.txt,6,0.6022418241405759,0.43714348945511583
dense_all_wp_1.pt,test_interactions_all.txt,7,0.6331748909498021,0.4474545117248577
dense_all_wp_1.pt,test_interactions_all.txt,8,0.6591454958200652,0.4556473253903063
dense_all_wp_1.pt,test_interactions_all.txt,9,0.6816973866691459,0.4624361209948196
dense_all_wp_1.pt,test_interactions_all.txt,10,0.7013244853527958,0.4681096248669329
dense_all_wp_1.pt,test_interactions_all.txt,11,0.7188306254793947,0.4729928391608279
dense_all_wp_1.pt,test_interactions_all.txt,12,0.7345392774407488,0.4772379162754053
dense_all_wp_1.pt,test_interactions_all.txt,13,0.7487855333193874,0.4809796887579506
dense_all_wp_1.pt,test_interactions_all.txt,14,0.7615112846616926,0.4842369469357479
dense_all_wp_1.pt,test_interactions_all.txt,15,0.772999325941938,0.4871089572558093
dense_all_wp_10.pt,test_interactions_all.txt,1,0.2653677490334627,0.2653677490334627
dense_all_wp_10.pt,test_interactions_all.txt,2,0.3815517281454106,0.33867167834351536
dense_all_wp_10.pt,test_interactions_all.txt,3,0.4577667759105595,0.3767792022260898
dense_all_wp_10.pt,test_interactions_all.txt,4,0.5141862104765668,0.4010777301134249
dense_all_wp_10.pt,test_interactions_all.txt,5,0.5594778761747592,0.41859893813309895
dense_all_wp_10.pt,test_interactions_all.txt,6,0.5963864289643525,0.4317460299025079
dense_all_wp_10.pt,test_interactions_all.txt,7,0.6268914301652604,0.44191436363614395
dense_all_wp_10.pt,test_interactions_all.txt,8,0.6532358660871317,0.45022510786822656
dense_all_wp_10.pt,test_interactions_all.txt,9,0.6757916308331202,0.4570150696319093
dense_all_wp_10.pt,test_interactions_all.txt,10,0.6954652162796644,0.4627020111920647
dense_all_wp_10.pt,test_interactions_all.txt,11,0.7126382012721878,0.4674922942115018
dense_all_wp_10.pt,test_interactions_all.txt,12,0.7283487901819957,0.4717378947634546
dense_all_wp_10.pt,test_interactions_all.txt,13,0.7420972503079748,0.4753489214230204
dense_all_wp_10.pt,test_interactions_all.txt,14,0.7545711983512695,0.4785417285257624
dense_all_wp_10.pt,test_interactions_all.txt,15,0.766030185404706,0.4814064752891215
dense_all_wp_.1.pt,test_interactions_all.txt,1,0.27093453889005104,0.27093453889005104
dense_all_wp_.1.pt,test_interactions_all.txt,2,0.3893847476930944,0.34566829994064285
dense_all_wp_.1.pt,test_interactions_all.txt,3,0.4669517854790848,0.3844518188336381
dense_all_wp_.1.pt,test_interactions_all.txt,4,0.5238573941070279,0.4089597304925922
dense_all_wp_.1.pt,test_interactions_all.txt,5,0.568972797495913,0.4264127509431012
dense_all_wp_.1.pt,test_interactions_all.txt,6,0.6049341824915355,0.4392224547369005
dense_all_wp_.1.pt,test_interactions_all.txt,7,0.6350537309501121,0.4492623042230926
dense_all_wp_.1.pt,test_interactions_all.txt,8,0.6602786106656129,0.45721986779447793
dense_all_wp_.1.pt,test_interactions_all.txt,9,0.6823946881125601,0.4638774704924367
dense_all_wp_.1.pt,test_interactions_all.txt,10,0.7016983164044038,0.4694574704519236
dense_all_wp_.1.pt,test_interactions_all.txt,11,0.7190436898093268,0.4742958400029116
dense_all_wp_.1.pt,test_interactions_all.txt,12,0.734504412368578,0.4784739171334365
dense_all_wp_.1.pt,test_interactions_all.txt,13,0.7482954853605436,0.4820961360424402
dense_all_wp_.1.pt,test_interactions_all.txt,14,0.7609708760430467,0.4853405040052265
dense_all_wp_.1.pt,test_interactions_all.txt,15,0.7724531064779304,0.4882110616139474
dense_all_wp_.01.pt,test_interactions_all.txt,1,0.2693733584361853,0.2693733584361853
dense_all_wp_.01.pt,test_interactions_all.txt,2,0.38678923676483123,0.3434545296154541
dense_all_wp_.01.pt,test_interactions_all.txt,3,0.4628551394990277,0.3814874809825523
dense_all_wp_.01.pt,test_interactions_all.txt,4,0.5188833104773416,0.4056175008146401
dense_all_wp_.01.pt,test_interactions_all.txt,5,0.5628636620722249,0.4226314232922829
dense_all_wp_.01.pt,test_interactions_all.txt,6,0.5986042349440996,0.4353624722206027
dense_all_wp_.01.pt,test_interactions_all.txt,7,0.6290433798975742,0.44550885387176087
dense_all_wp_.01.pt,test_interactions_all.txt,8,0.6546614601492226,0.453590458401834
dense_all_wp_.01.pt,test_interactions_all.txt,9,0.6767155552456438,0.46022940255308276
dense_all_wp_.01.pt,test_interactions_all.txt,10,0.6961954458467952,0.465860353746396
dense_all_wp_.01.pt,test_interactions_all.txt,11,0.7136086124476055,0.47071763373113995
dense_all_wp_.01.pt,test_interactions_all.txt,12,0.7291681193780071,0.47492240616781073
dense_all_wp_.01.pt,test_interactions_all.txt,13,0.7429417598338873,0.47854004642931713
dense_all_wp_.01.pt,test_interactions_all.txt,14,0.7555977810318512,0.48177945661709914
dense_all_wp_.01.pt,test_interactions_all.txt,15,0.7670838853636427,0.48465098270004703
