model,test_file,k,hit,ndcg
rs_all_wp_1.pt,test_inters_rs_all.txt,1,0.365889681,0.365889681
rs_all_wp_1.pt,test_inters_rs_all.txt,2,0.511333719,0.457654652
rs_all_wp_1.pt,test_inters_rs_all.txt,3,0.592435626,0.498205605
rs_all_wp_1.pt,test_inters_rs_all.txt,4,0.649585822,0.522818855
rs_all_wp_1.pt,test_inters_rs_all.txt,5,0.69100366,0.538841462
rs_all_wp_1.pt,test_inters_rs_all.txt,6,0.725422205,0.551101595
rs_all_wp_1.pt,test_inters_rs_all.txt,7,0.750915045,0.559599209
rs_all_wp_1.pt,test_inters_rs_all.txt,8,0.774096192,0.566912046
rs_all_wp_1.pt,test_inters_rs_all.txt,9,0.791883388,0.572266526
rs_all_wp_1.pt,test_inters_rs_all.txt,10,0.806459899,0.576480082
rs_all_wp_1.pt,test_inters_rs_all.txt,11,0.820972195,0.580528185
rs_all_wp_1.pt,test_inters_rs_all.txt,12,0.831117961,0.583269958
rs_all_wp_1.pt,test_inters_rs_all.txt,13,0.839786811,0.585546827
rs_all_wp_1.pt,test_inters_rs_all.txt,14,0.848584088,0.587798561
rs_all_wp_1.pt,test_inters_rs_all.txt,15,0.85712451,0.589933667
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,1,0.371797342,0.371797342
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,2,0.516984524,0.463400255
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,3,0.597508508,0.503662247
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,4,0.653181789,0.527639424
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,5,0.692994285,0.543041
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,6,0.726770693,0.555072399
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,7,0.75239196,0.563612822
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,8,0.774417261,0.57056103
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,9,0.791690747,0.575760868
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,10,0.806395685,0.580011548
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,11,0.820073204,0.583826795
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,12,0.831374815,0.586880922
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,13,0.842291145,0.589748091
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,14,0.850510499,0.591851901
rs_all_no_rel_wp_1.pt,test_inters_rs_all.txt,15,0.859115135,0.59400306
rs_all_wp_10.pt,test_inters_rs_all.txt,1,0.372246837,0.372246837
rs_all_wp_10.pt,test_inters_rs_all.txt,2,0.511654787,0.460203461
rs_all_wp_10.pt,test_inters_rs_all.txt,3,0.594554678,0.501653406
rs_all_wp_10.pt,test_inters_rs_all.txt,4,0.653438644,0.52701335
rs_all_wp_10.pt,test_inters_rs_all.txt,5,0.693636422,0.542563973
rs_all_wp_10.pt,test_inters_rs_all.txt,6,0.72619277,0.554160778
rs_all_wp_10.pt,test_inters_rs_all.txt,7,0.75168561,0.562658392
rs_all_wp_10.pt,test_inters_rs_all.txt,8,0.772041354,0.569079914
rs_all_wp_10.pt,test_inters_rs_all.txt,9,0.788351634,0.573989798
rs_all_wp_10.pt,test_inters_rs_all.txt,10,0.803056572,0.578240478
rs_all_wp_10.pt,test_inters_rs_all.txt,11,0.817697297,0.582324405
rs_all_wp_10.pt,test_inters_rs_all.txt,12,0.830475824,0.58577765
rs_all_wp_10.pt,test_inters_rs_all.txt,13,0.841777435,0.588746013
rs_all_wp_10.pt,test_inters_rs_all.txt,14,0.851473704,0.591227851
