


















Evaluating........................................................................................................................epoch:   1, time: 0.0h 0.0min 18.05775785446167sec, valid (NDCG@10: 0.2384, HR@10: 0.4402), test (NDCG@10: 0.2482, HR@10: 0.4445)




















Evaluating........................................................................................................................epoch:   2, time: 0.0h 0.0min 19.942630767822266sec, valid (NDCG@10: 0.2455, HR@10: 0.4440), test (NDCG@10: 0.2487, HR@10: 0.4487)



















Evaluating........................................................................................................................epoch:   3, time: 0.0h 0.0min 21.87635374069214sec, valid (NDCG@10: 0.2468, HR@10: 0.4478), test (NDCG@10: 0.2495, HR@10: 0.4515)



















Evaluating........................................................................................................................epoch:   4, time: 0.0h 0.0min 23.80896019935608sec, valid (NDCG@10: 0.2490, HR@10: 0.4540), test (NDCG@10: 0.2479, HR@10: 0.4556)



















Evaluating........................................................................................................................epoch:   5, time: 0.0h 0.0min 25.779586791992188sec, valid (NDCG@10: 0.2655, HR@10: 0.4790), test (NDCG@10: 0.2578, HR@10: 0.4667)



















Evaluating........................................................................................................................epoch:   6, time: 0.0h 0.0min 27.7069730758667sec, valid (NDCG@10: 0.2848, HR@10: 0.5131), test (NDCG@10: 0.2750, HR@10: 0.4945)



















Evaluating........................................................................................................................epoch:   7, time: 0.0h 0.0min 29.711522102355957sec, valid (NDCG@10: 0.2998, HR@10: 0.5356), test (NDCG@10: 0.2899, HR@10: 0.5238)



















Evaluating........................................................................................................................epoch:   8, time: 0.0h 0.0min 31.637895822525024sec, valid (NDCG@10: 0.3106, HR@10: 0.5528), test (NDCG@10: 0.3025, HR@10: 0.5377)



















Evaluating........................................................................................................................epoch:   9, time: 0.0h 0.0min 33.498579025268555sec, valid (NDCG@10: 0.3262, HR@10: 0.5657), test (NDCG@10: 0.3177, HR@10: 0.5601)



















Evaluating........................................................................................................................epoch:  10, time: 0.0h 0.0min 35.473358392715454sec, valid (NDCG@10: 0.3411, HR@10: 0.5886), test (NDCG@10: 0.3299, HR@10: 0.5750)



















Evaluating........................................................................................................................epoch:  11, time: 0.0h 0.0min 37.33400511741638sec, valid (NDCG@10: 0.3589, HR@10: 0.6103), test (NDCG@10: 0.3499, HR@10: 0.5934)



















Evaluating........................................................................................................................epoch:  12, time: 0.0h 0.0min 39.296409606933594sec, valid (NDCG@10: 0.3751, HR@10: 0.6285), test (NDCG@10: 0.3610, HR@10: 0.6076)


















Evaluating........................................................................................................................epoch:  13, time: 0.0h 0.0min 41.23670840263367sec, valid (NDCG@10: 0.3951, HR@10: 0.6507), test (NDCG@10: 0.3747, HR@10: 0.6321)



















Evaluating........................................................................................................................epoch:  14, time: 0.0h 0.0min 43.1081748008728sec, valid (NDCG@10: 0.4141, HR@10: 0.6690), test (NDCG@10: 0.3928, HR@10: 0.6487)




